At1,At2,Class
0.615,-0.0228,b'1.0'
-1.79,-0.98,b'1.0'
-1.79,-0.954,b'1.0'
0.826,1.5,b'1.0'
0.845,0.766,b'-1.0'
-0.476,-1.49,b'-1.0'
1.01,0.48,b'-1.0'
1.39,-0.376,b'-1.0'
0.357,-1.07,b'-1.0'
0.77,1.4,b'-1.0'
-1.08,0.114,b'1.0'
-0.795,-1.43,b'-1.0'
0.706,1.38,b'1.0'
-1.26,0.23,b'1.0'
-0.833,-0.569,b'-1.0'
-0.0303,2.11,b'-1.0'
-0.223,-0.419,b'1.0'
-0.562,-0.873,b'-1.0'
0.926,0.972,b'-1.0'
-1.86,-1.57,b'1.0'
-0.806,0.941,b'-1.0'
-0.214,0.38,b'1.0'
0.744,1.42,b'1.0'
1.94,-0.65,b'-1.0'
1.77,1.35,b'1.0'
-0.903,0.101,b'1.0'
-0.0418,-1.02,b'-1.0'
0.309,-0.175,b'1.0'
-0.634,-0.969,b'-1.0'
-1.62,0.102,b'-1.0'
-1.21,1.27,b'-1.0'
0.529,0.133,b'-1.0'
0.386,1.55,b'-1.0'
-0.0962,0.19,b'1.0'
-0.536,1.13,b'-1.0'
1.02,-0.261,b'1.0'
-0.876,-1.0,b'-1.0'
2.35,1.21,b'1.0'
-0.982,-1.08,b'-1.0'
-1.16,0.469,b'1.0'
-1.74,0.693,b'-1.0'
-1.1,1.16,b'-1.0'
0.0179,-0.7,b'1.0'
-0.62,-0.984,b'-1.0'
-1.52,0.66,b'-1.0'
1.07,-0.985,b'1.0'
0.917,0.525,b'-1.0'
-0.0482,1.52,b'-1.0'
1.49,1.55,b'1.0'
-0.584,1.01,b'-1.0'
-0.0625,-0.12,b'1.0'
-1.68,1.08,b'-1.0'
-1.77,-0.923,b'1.0'
-0.202,0.712,b'1.0'
1.06,-0.427,b'1.0'
1.71,1.1,b'1.0'
-1.7,0.872,b'-1.0'
1.86,1.14,b'1.0'
-0.529,-0.357,b'1.0'
-0.411,-1.3,b'-1.0'
0.666,1.36,b'1.0'
0.162,-0.791,b'-1.0'
-0.296,0.255,b'1.0'
-0.0347,1.3,b'-1.0'
0.294,-1.5,b'-1.0'
-0.52,-1.17,b'-1.0'
0.741,-1.2,b'1.0'
-1.33,1.08,b'-1.0'
-0.0987,0.966,b'1.0'
0.0131,-0.969,b'-1.0'
0.896,1.58,b'1.0'
-0.412,0.492,b'1.0'
0.683,1.07,b'-1.0'
-0.753,-0.0615,b'1.0'
-0.0674,1.85,b'-1.0'
1.08,0.683,b'-1.0'
1.15,0.243,b'-1.0'
0.497,-0.671,b'1.0'
0.174,1.92,b'-1.0'
1.64,0.0477,b'-1.0'
-0.478,-0.796,b'-1.0'
-0.447,-1.0,b'-1.0'
-1.04,-0.2,b'1.0'
2.06,-0.482,b'-1.0'
-0.89,-1.17,b'-1.0'
0.312,-1.23,b'-1.0'
0.976,-1.39,b'1.0'
0.291,-0.795,b'-1.0'
0.303,-0.143,b'1.0'
1.1,-0.695,b'1.0'
0.579,-1.02,b'1.0'
-1.54,0.685,b'-1.0'
0.916,0.144,b'1.0'
1.18,0.614,b'-1.0'
0.254,-0.862,b'-1.0'
-0.877,-0.401,b'1.0'
1.97,0.99,b'1.0'
0.471,1.39,b'-1.0'
1.63,0.475,b'-1.0'
0.945,0.309,b'-1.0'
0.121,-1.3,b'-1.0'
1.06,-0.69,b'1.0'
1.42,-0.32,b'1.0'
0.535,0.504,b'1.0'
0.912,-0.114,b'-1.0'
-0.75,1.14,b'-1.0'
1.14,-0.209,b'1.0'
-1.03,-1.09,b'-1.0'
0.268,-1.08,b'1.0'
-1.77,-0.828,b'1.0'
0.378,-0.0609,b'1.0'
1.19,0.113,b'1.0'
-0.168,1.32,b'-1.0'
2.07,1.21,b'1.0'
-1.07,0.707,b'-1.0'
-1.19,0.309,b'-1.0'
1.19,0.697,b'-1.0'
0.121,1.72,b'-1.0'
1.23,-0.0582,b'1.0'
0.44,0.399,b'1.0'
-0.723,0.633,b'-1.0'
-0.63,0.949,b'-1.0'
0.143,0.263,b'1.0'
1.23,-0.615,b'1.0'
1.9,-0.0565,b'-1.0'
1.22,-0.0172,b'-1.0'
0.0107,0.0258,b'1.0'
0.36,-0.715,b'1.0'
0.139,-1.01,b'-1.0'
0.308,-1.06,b'-1.0'
-0.645,-0.238,b'1.0'
1.15,0.715,b'-1.0'
-0.531,-1.27,b'-1.0'
1.05,0.701,b'-1.0'
0.0681,-0.76,b'-1.0'
-0.595,1.46,b'-1.0'
0.72,0.989,b'-1.0'
-1.86,-0.963,b'1.0'
0.0692,-0.828,b'-1.0'
0.863,0.765,b'-1.0'
-0.574,1.32,b'-1.0'
-0.467,-1.51,b'-1.0'
1.43,0.484,b'-1.0'
-0.592,-1.17,b'-1.0'
0.122,-0.041,b'1.0'
0.909,0.118,b'-1.0'
-0.705,-0.93,b'-1.0'
1.05,0.453,b'-1.0'
-0.786,-1.33,b'-1.0'
0.07,1.7,b'-1.0'
-0.36,-1.28,b'-1.0'
-1.25,0.985,b'-1.0'
1.33,1.42,b'1.0'
0.778,-0.694,b'1.0'
-1.87,-1.26,b'1.0'
0.178,1.49,b'-1.0'
-1.03,1.18,b'-1.0'
-0.956,-0.818,b'1.0'
0.0345,-0.691,b'-1.0'
-1.25,0.512,b'1.0'
-0.187,-1.38,b'-1.0'
-1.24,1.0,b'-1.0'
0.329,-0.37,b'1.0'
-1.37,-0.803,b'1.0'
0.529,1.62,b'-1.0'
-0.23,1.08,b'-1.0'
-0.619,-0.748,b'-1.0'
-0.914,1.07,b'-1.0'
0.163,-1.31,b'-1.0'
1.19,-1.34,b'1.0'
0.983,-1.31,b'1.0'
-1.63,-1.41,b'1.0'
-1.02,-0.296,b'1.0'
-0.387,0.26,b'1.0'
-1.59,-1.0,b'1.0'
1.69,-0.724,b'-1.0'
-0.869,-0.0393,b'1.0'
-1.9,0.106,b'1.0'
-1.75,0.722,b'-1.0'
-1.06,-1.07,b'-1.0'
-0.509,-1.41,b'-1.0'
-0.112,-0.841,b'1.0'
1.08,0.79,b'-1.0'
0.498,0.567,b'-1.0'
-0.796,-1.63,b'-1.0'
-0.3,-1.04,b'-1.0'
-2.34,0.246,b'-1.0'
0.842,-1.41,b'1.0'
-0.0263,-1.35,b'-1.0'
0.586,1.15,b'-1.0'
1.87,-0.239,b'-1.0'
0.404,-0.868,b'-1.0'
0.564,-1.13,b'1.0'
-0.0584,0.54,b'1.0'
-1.58,-1.26,b'1.0'
-0.813,-0.57,b'1.0'
-0.579,-0.748,b'1.0'
-1.35,1.32,b'-1.0'
-0.639,-0.938,b'-1.0'
1.49,-0.00779,b'-1.0'
0.719,0.0781,b'1.0'
0.0346,1.7,b'-1.0'
-0.274,0.0468,b'1.0'
0.207,0.0304,b'1.0'
1.63,-0.251,b'-1.0'
-0.207,-0.745,b'-1.0'
-0.717,1.0,b'-1.0'
1.17,-0.567,b'1.0'
0.661,1.69,b'-1.0'
-1.13,0.6,b'-1.0'
-0.109,-1.25,b'-1.0'
0.68,0.702,b'-1.0'
0.867,0.81,b'-1.0'
-0.562,-1.01,b'-1.0'
1.79,-0.102,b'-1.0'
-1.87,-1.1,b'1.0'
-0.946,-0.197,b'1.0'
0.812,-0.195,b'1.0'
0.287,-0.517,b'1.0'
0.262,-0.673,b'-1.0'
-0.358,-1.02,b'-1.0'
-0.392,-1.27,b'-1.0'
-1.2,-1.02,b'-1.0'
-0.337,-1.45,b'-1.0'
-1.54,-0.643,b'1.0'
0.311,1.76,b'-1.0'
-0.473,-0.749,b'-1.0'
1.71,0.0217,b'-1.0'
1.88,-0.368,b'-1.0'
-1.18,-0.0978,b'1.0'
0.0431,-0.0199,b'1.0'
1.23,0.354,b'-1.0'
0.0788,-0.0998,b'1.0'
0.0544,-1.59,b'-1.0'
-0.24,1.72,b'1.0'
-0.496,-1.09,b'-1.0'
-0.636,1.35,b'-1.0'
1.15,0.634,b'-1.0'
1.29,-1.43,b'1.0'
-0.983,1.06,b'-1.0'
-0.206,-0.474,b'1.0'
0.298,-0.829,b'1.0'
-0.972,-1.06,b'-1.0'
1.21,0.354,b'-1.0'
0.328,1.71,b'1.0'
0.313,-1.07,b'-1.0'
-1.24,-0.352,b'1.0'
-1.39,-0.68,b'1.0'
1.2,-1.56,b'1.0'
-0.208,0.332,b'1.0'
0.553,1.54,b'-1.0'
0.354,-1.19,b'-1.0'
-0.74,-1.53,b'-1.0'
-0.769,1.35,b'-1.0'
-0.0381,-0.791,b'-1.0'
-0.102,-0.13,b'1.0'
-1.06,0.496,b'1.0'
-0.481,1.09,b'-1.0'
0.866,-0.917,b'1.0'
1.06,0.266,b'-1.0'
1.73,1.68,b'1.0'
-0.516,-0.935,b'-1.0'
-0.893,-1.27,b'-1.0'
1.2,-0.948,b'1.0'
0.763,1.15,b'-1.0'
0.794,0.762,b'-1.0'
-0.314,0.0194,b'1.0'
-0.456,1.55,b'-1.0'
1.04,0.563,b'-1.0'
-0.0978,-0.424,b'1.0'
1.37,-0.643,b'-1.0'
-0.201,0.0726,b'1.0'
-1.97,0.611,b'-1.0'
0.99,-0.0762,b'1.0'
1.28,0.902,b'-1.0'
0.569,1.62,b'1.0'
-1.2,-0.451,b'1.0'
-0.508,1.48,b'-1.0'
-1.69,-0.175,b'-1.0'
-0.298,-1.26,b'-1.0'
0.301,-1.17,b'-1.0'
0.975,1.48,b'-1.0'
-0.853,-0.254,b'1.0'
0.837,1.75,b'1.0'
0.379,1.36,b'-1.0'
-0.364,-0.0828,b'1.0'
0.939,-0.351,b'1.0'
1.24,0.554,b'-1.0'
1.37,-0.331,b'1.0'
-0.48,-0.913,b'-1.0'
1.34,-0.261,b'-1.0'
0.286,1.23,b'-1.0'
0.672,2.03,b'-1.0'
-0.52,-1.52,b'-1.0'
-0.513,1.29,b'-1.0'
-0.648,-0.631,b'-1.0'
-0.113,-0.197,b'1.0'
0.103,0.329,b'1.0'
-0.941,0.976,b'-1.0'
-0.533,-0.402,b'1.0'
1.09,-1.59,b'1.0'
-0.395,-0.756,b'-1.0'
1.46,-0.417,b'1.0'
-0.724,-1.26,b'-1.0'
-1.59,-0.98,b'1.0'
0.159,1.51,b'-1.0'
-0.843,1.4,b'-1.0'
-0.581,-1.27,b'-1.0'
-0.268,-1.26,b'-1.0'
-1.58,-0.842,b'1.0'
-0.52,1.2,b'-1.0'
-0.0203,1.92,b'1.0'
-1.52,0.934,b'-1.0'
1.05,0.444,b'-1.0'
0.351,-0.0402,b'1.0'
-0.322,-1.12,b'-1.0'
-0.654,-0.999,b'-1.0'
0.165,-1.58,b'-1.0'
2.6,0.951,b'1.0'
1.52,-0.0653,b'-1.0'
-1.29,-0.529,b'1.0'
1.18,0.392,b'-1.0'
-0.00264,-1.02,b'-1.0'
1.24,0.273,b'-1.0'
1.45,0.398,b'-1.0'
0.54,-1.26,b'-1.0'
-0.324,-1.03,b'-1.0'
-1.69,-1.2,b'1.0'
-0.455,0.868,b'-1.0'
2.16,1.16,b'1.0'
-0.232,-1.4,b'-1.0'
0.685,1.69,b'-1.0'
-0.0537,-1.52,b'-1.0'
1.03,0.548,b'-1.0'
-0.758,-1.21,b'-1.0'
-0.259,0.496,b'1.0'
-0.472,0.411,b'1.0'
-0.127,-1.33,b'-1.0'
-0.784,-1.05,b'-1.0'
-1.73,-1.32,b'1.0'
-1.24,-0.919,b'1.0'
0.275,-0.987,b'-1.0'
1.66,0.672,b'-1.0'
-1.07,0.963,b'-1.0'
-0.262,1.28,b'-1.0'
-1.4,-0.37,b'1.0'
-0.288,0.305,b'1.0'
0.778,1.44,b'1.0'
1.23,-0.493,b'-1.0'
-1.27,-0.273,b'1.0'
-0.994,1.14,b'-1.0'
0.74,1.2,b'1.0'
0.489,0.904,b'-1.0'
0.805,-0.237,b'1.0'
-1.86,-1.47,b'1.0'
-0.617,-1.02,b'-1.0'
-0.66,0.965,b'-1.0'
0.487,-0.13,b'1.0'
-0.0508,-1.19,b'-1.0'
0.96,-0.522,b'1.0'
-1.21,0.778,b'-1.0'
0.149,1.98,b'-1.0'
-1.76,-0.903,b'1.0'
0.0486,-0.389,b'1.0'
-0.891,1.0,b'-1.0'
0.263,-1.48,b'-1.0'
1.21,1.28,b'-1.0'
-1.46,0.0829,b'1.0'
-1.04,1.19,b'-1.0'
-1.69,-0.542,b'1.0'
0.707,0.0524,b'1.0'
1.31,-0.254,b'-1.0'
-0.488,-0.566,b'1.0'
1.8,-0.811,b'-1.0'
1.84,1.18,b'1.0'
1.49,-0.156,b'-1.0'
-0.881,-1.59,b'-1.0'
0.529,0.788,b'1.0'
0.571,0.197,b'1.0'
-2.07,0.0318,b'-1.0'
-1.23,-0.308,b'1.0'
0.682,1.5,b'-1.0'
-1.33,0.0398,b'1.0'
-1.35,0.424,b'1.0'
0.307,-0.678,b'-1.0'
0.859,-0.952,b'1.0'
-0.672,0.683,b'1.0'
1.36,0.258,b'-1.0'
-0.37,1.48,b'-1.0'
-1.9,-1.1,b'1.0'
-1.38,-0.32,b'1.0'
0.234,0.958,b'-1.0'
-1.01,-0.771,b'1.0'
-0.739,0.578,b'1.0'
-0.107,-1.5,b'-1.0'
0.592,0.973,b'-1.0'
0.52,1.21,b'-1.0'
0.416,1.86,b'1.0'
-0.181,0.344,b'1.0'
1.27,-0.441,b'-1.0'
0.422,-0.934,b'1.0'
-0.704,-0.802,b'-1.0'
0.088,-1.25,b'-1.0'
0.952,0.427,b'-1.0'
1.39,-0.218,b'-1.0'
-1.08,-1.3,b'-1.0'
1.25,-0.35,b'-1.0'
0.183,-1.21,b'-1.0'
-0.0765,-1.12,b'-1.0'
-0.407,0.602,b'1.0'
0.975,0.809,b'-1.0'
-0.0552,0.882,b'1.0'
-0.946,1.02,b'-1.0'
1.11,-0.106,b'-1.0'
-0.794,1.07,b'-1.0'
-0.652,-1.1,b'-1.0'
-2.08,-1.78,b'1.0'
-0.631,-0.867,b'-1.0'
-0.856,-1.31,b'-1.0'
-0.215,-1.01,b'-1.0'
-1.12,0.154,b'1.0'
-1.1,0.135,b'1.0'
-0.134,-1.1,b'-1.0'
0.844,0.243,b'-1.0'
0.472,0.289,b'1.0'
1.64,0.174,b'-1.0'
-0.413,-0.0275,b'1.0'
-0.875,0.591,b'1.0'
-0.404,0.178,b'1.0'
-0.297,-0.467,b'1.0'
-0.698,-1.26,b'-1.0'
1.2,0.298,b'-1.0'
-0.346,-1.5,b'-1.0'
-1.14,-0.494,b'1.0'
-0.0242,-0.659,b'1.0'
-0.495,-1.2,b'-1.0'
-0.803,-0.782,b'-1.0'
-0.641,0.516,b'1.0'
-0.0874,-0.948,b'-1.0'
-1.04,0.679,b'-1.0'
0.701,0.0237,b'1.0'
-0.677,-1.41,b'-1.0'
-0.516,0.831,b'1.0'
-0.864,-1.56,b'-1.0'
0.863,-1.02,b'1.0'
-1.12,0.559,b'1.0'
-0.779,-1.14,b'-1.0'
-0.9,1.49,b'-1.0'
2.43,1.39,b'1.0'
-1.67,-1.73,b'1.0'
0.743,-1.18,b'1.0'
-1.52,-0.658,b'1.0'
1.28,-0.176,b'1.0'
1.58,-1.29,b'1.0'
0.61,0.488,b'-1.0'
-2.15,-0.858,b'1.0'
-0.0307,0.678,b'1.0'
-0.227,-1.19,b'-1.0'
0.642,1.65,b'1.0'
-1.58,-1.25,b'1.0'
0.373,1.48,b'-1.0'
0.333,-0.845,b'1.0'
-1.18,-0.758,b'1.0'
1.15,-1.52,b'1.0'
-0.601,-0.539,b'1.0'
-1.57,-1.74,b'1.0'
0.652,-0.646,b'1.0'
-1.43,1.26,b'-1.0'
0.71,0.0529,b'1.0'
1.18,0.585,b'-1.0'
-1.01,-1.27,b'1.0'
0.13,1.38,b'-1.0'
0.469,-0.321,b'1.0'
-1.08,0.72,b'-1.0'
0.987,0.858,b'-1.0'
1.57,-0.389,b'-1.0'
-0.411,0.727,b'1.0'
-0.72,0.189,b'1.0'
-0.00329,-0.0777,b'1.0'
-0.937,-0.086,b'1.0'
2.21,1.02,b'1.0'
-0.606,-0.997,b'-1.0'
1.4,0.377,b'-1.0'
0.37,0.312,b'1.0'
-1.41,-0.214,b'1.0'
-0.192,1.66,b'-1.0'
-0.0246,-0.141,b'1.0'
1.07,-0.0433,b'-1.0'
-0.477,-1.25,b'-1.0'
-1.35,-0.485,b'1.0'
0.996,0.225,b'-1.0'
-1.25,-1.28,b'-1.0'
-0.198,1.67,b'1.0'
-0.8,-0.282,b'1.0'
0.168,0.345,b'1.0'
0.851,1.46,b'-1.0'
1.45,-1.24,b'1.0'
-1.02,-1.18,b'-1.0'
-1.31,0.916,b'-1.0'
-0.457,-0.322,b'1.0'
0.0744,1.04,b'-1.0'
0.902,-1.08,b'1.0'
-0.904,0.953,b'-1.0'
-0.11,-0.911,b'-1.0'
1.01,-1.05,b'1.0'
0.441,-1.13,b'-1.0'
-0.287,-0.726,b'1.0'
0.205,-0.471,b'1.0'
-0.625,1.14,b'-1.0'
-0.623,-0.737,b'1.0'
-0.254,-0.932,b'-1.0'
-0.817,-1.19,b'-1.0'
-1.73,0.87,b'-1.0'
0.176,1.94,b'-1.0'
0.899,-0.235,b'1.0'
0.834,-0.584,b'1.0'
0.15,-0.256,b'1.0'
-1.23,-0.336,b'1.0'
0.866,-0.807,b'1.0'
1.07,0.0877,b'-1.0'
-0.256,1.52,b'-1.0'
2.34,-1.25,b'-1.0'
-0.374,-1.08,b'-1.0'
-1.16,0.381,b'-1.0'
-1.3,-1.17,b'1.0'
0.527,-0.251,b'1.0'
-0.748,-0.57,b'1.0'
1.02,0.997,b'-1.0'
0.105,0.103,b'1.0'
0.563,0.137,b'1.0'
0.317,-0.0233,b'1.0'
0.15,1.3,b'-1.0'
-1.31,0.00723,b'1.0'
1.42,-0.146,b'-1.0'
0.576,1.7,b'1.0'
-0.106,-0.316,b'1.0'
-1.2,0.932,b'-1.0'
-1.14,0.488,b'-1.0'
-0.151,1.66,b'-1.0'
-1.46,-0.909,b'1.0'
1.36,-0.425,b'-1.0'
1.41,0.83,b'-1.0'
0.176,-1.11,b'-1.0'
-0.526,1.26,b'-1.0'
0.552,-1.07,b'1.0'
-1.14,0.304,b'1.0'
-1.64,0.143,b'1.0'
-0.189,-1.24,b'-1.0'
0.775,0.0171,b'1.0'
-0.598,1.22,b'-1.0'
-1.71,-1.29,b'1.0'
1.52,0.409,b'-1.0'
0.548,-0.959,b'-1.0'
-0.636,-0.988,b'1.0'
-0.0723,-1.08,b'-1.0'
0.0949,-0.854,b'1.0'
0.726,0.289,b'-1.0'
1.43,0.147,b'-1.0'
-0.0238,0.000407,b'1.0'
0.939,1.69,b'1.0'
-1.29,0.511,b'-1.0'
0.324,1.68,b'1.0'
-0.506,-1.09,b'-1.0'
0.341,-1.32,b'-1.0'
-0.978,0.931,b'-1.0'
-1.31,-0.229,b'1.0'
1.29,0.677,b'-1.0'
1.01,-0.94,b'1.0'
0.0219,-0.388,b'1.0'
-0.647,-1.22,b'-1.0'
-0.31,-1.38,b'-1.0'
-0.146,0.132,b'1.0'
1.38,0.877,b'-1.0'
0.24,-1.14,b'-1.0'
-1.01,-1.53,b'-1.0'
1.21,-1.02,b'1.0'
-0.623,1.24,b'-1.0'
-1.42,0.83,b'-1.0'
-0.0908,-0.846,b'-1.0'
1.39,-0.872,b'1.0'
0.502,-0.536,b'1.0'
-0.046,1.51,b'-1.0'
-1.35,-1.19,b'1.0'
1.77,0.109,b'-1.0'
-0.166,-0.986,b'-1.0'
0.152,1.53,b'-1.0'
0.308,0.933,b'-1.0'
-1.11,0.439,b'1.0'
-1.87,-0.451,b'1.0'
-1.66,-0.735,b'1.0'
1.18,0.424,b'-1.0'
-0.109,-0.884,b'-1.0'
0.243,0.304,b'1.0'
1.04,0.816,b'-1.0'
0.514,1.27,b'-1.0'
-0.145,1.67,b'-1.0'
0.169,1.86,b'1.0'
-0.984,-0.807,b'-1.0'
0.379,-0.755,b'-1.0'
-1.11,0.655,b'1.0'
-0.918,1.13,b'-1.0'
-0.43,-0.722,b'-1.0'
-1.62,-1.85,b'1.0'
0.377,0.198,b'1.0'
-0.329,-0.858,b'-1.0'
0.125,2.16,b'-1.0'
-0.108,-1.3,b'-1.0'
-0.118,1.7,b'1.0'
0.826,0.744,b'-1.0'
-1.1,0.811,b'-1.0'
1.2,-0.598,b'1.0'
-1.89,-0.727,b'1.0'
1.45,0.229,b'-1.0'
0.833,-0.254,b'1.0'
-1.7,-0.845,b'1.0'
0.272,1.82,b'1.0'
0.179,1.81,b'-1.0'
-0.951,0.533,b'-1.0'
-1.07,0.534,b'1.0'
-0.874,0.922,b'-1.0'
-0.0715,1.41,b'-1.0'
0.195,-0.296,b'1.0'
0.373,-1.17,b'-1.0'
0.808,-0.831,b'1.0'
-0.504,1.03,b'-1.0'
1.39,0.262,b'-1.0'
1.12,0.862,b'-1.0'
0.755,0.22,b'1.0'
1.57,-0.114,b'-1.0'
1.32,1.36,b'1.0'
0.802,0.133,b'-1.0'
-0.558,0.572,b'1.0'
0.27,0.696,b'1.0'
-0.606,-0.546,b'1.0'
-0.556,-0.505,b'1.0'
-1.74,0.254,b'-1.0'
0.143,0.337,b'1.0'
1.19,-0.404,b'-1.0'
-0.16,-1.36,b'-1.0'
1.29,0.153,b'-1.0'
1.47,-0.312,b'1.0'
-0.853,-1.17,b'-1.0'
-0.377,0.607,b'1.0'
0.816,0.306,b'1.0'
1.16,-1.08,b'1.0'
0.378,-0.56,b'1.0'
-0.567,-1.14,b'-1.0'
0.934,0.258,b'1.0'
1.01,-0.743,b'1.0'
0.96,-0.9,b'1.0'
-0.249,0.0234,b'1.0'
1.45,-0.26,b'-1.0'
-0.497,1.07,b'-1.0'
0.827,0.755,b'-1.0'
0.604,0.374,b'-1.0'
2.51,1.11,b'1.0'
0.154,-0.653,b'1.0'
-0.264,-0.768,b'1.0'
-0.573,-0.789,b'1.0'
0.792,0.988,b'-1.0'
-0.0338,1.52,b'-1.0'
1.59,-0.522,b'-1.0'
-0.61,-0.306,b'1.0'
0.184,1.7,b'1.0'
0.0317,-0.821,b'1.0'
0.781,0.415,b'-1.0'
0.118,-1.37,b'-1.0'
-1.57,0.942,b'-1.0'
0.415,1.8,b'-1.0'
0.552,2.05,b'-1.0'
-1.21,-0.934,b'-1.0'
-2.14,-0.476,b'1.0'
0.0154,-1.41,b'-1.0'
-0.0789,-1.35,b'-1.0'
-0.397,1.32,b'-1.0'
-0.466,0.145,b'1.0'
0.238,-1.51,b'-1.0'
-0.433,-1.13,b'-1.0'
1.3,0.555,b'-1.0'
0.0991,-1.05,b'-1.0'
0.59,-0.796,b'1.0'
-0.235,-0.617,b'1.0'
0.796,0.429,b'1.0'
-1.97,-0.271,b'1.0'
0.284,2.37,b'-1.0'
-0.39,-0.209,b'1.0'
0.165,-0.405,b'1.0'
-0.424,2.01,b'-1.0'
-0.934,-1.58,b'-1.0'
0.218,-0.368,b'1.0'
-0.283,1.88,b'1.0'
-0.347,-1.5,b'-1.0'
-0.342,-1.31,b'-1.0'
0.313,0.189,b'1.0'
-0.341,-0.0358,b'1.0'
-0.00698,-1.15,b'-1.0'
-1.73,-1.3,b'1.0'
-0.451,0.775,b'1.0'
-1.62,-0.712,b'1.0'
-0.862,-0.0613,b'1.0'
-0.828,-0.839,b'-1.0'
-1.01,1.07,b'-1.0'
1.02,0.858,b'-1.0'
-0.255,0.387,b'1.0'
0.118,0.13,b'1.0'
-0.786,-0.64,b'1.0'
-0.0895,1.65,b'1.0'
2.46,1.23,b'1.0'
-0.803,-0.705,b'-1.0'
-0.618,-1.2,b'-1.0'
0.713,1.02,b'-1.0'
0.976,-1.53,b'1.0'
1.47,1.21,b'1.0'
