Native,Instructor,Course,Semester,Size,Class
2.0,15.0,3.0,1.0,20.0,b'3'
2.0,10.0,22.0,2.0,9.0,b'3'
2.0,13.0,1.0,2.0,30.0,b'3'
2.0,18.0,21.0,2.0,29.0,b'3'
2.0,6.0,17.0,2.0,39.0,b'3'
2.0,6.0,17.0,2.0,42.0,b'2'
2.0,6.0,17.0,2.0,43.0,b'2'
2.0,7.0,11.0,2.0,10.0,b'2'
2.0,22.0,3.0,2.0,46.0,b'2'
2.0,13.0,3.0,1.0,10.0,b'2'
2.0,7.0,25.0,2.0,42.0,b'2'
2.0,25.0,7.0,2.0,27.0,b'2'
2.0,25.0,7.0,2.0,23.0,b'2'
2.0,2.0,9.0,2.0,31.0,b'2'
2.0,1.0,15.0,1.0,22.0,b'2'
2.0,15.0,13.0,2.0,37.0,b'2'
2.0,7.0,11.0,2.0,13.0,b'2'
2.0,8.0,3.0,2.0,24.0,b'2'
2.0,14.0,15.0,2.0,38.0,b'2'
2.0,21.0,2.0,2.0,42.0,b'1'
2.0,22.0,3.0,2.0,28.0,b'1'
2.0,11.0,1.0,2.0,51.0,b'1'
2.0,18.0,5.0,2.0,19.0,b'1'
2.0,13.0,1.0,2.0,31.0,b'1'
1.0,13.0,3.0,1.0,13.0,b'1'
2.0,5.0,2.0,2.0,37.0,b'1'
2.0,16.0,8.0,2.0,36.0,b'1'
2.0,4.0,16.0,2.0,21.0,b'1'
2.0,5.0,2.0,2.0,48.0,b'1'
2.0,14.0,15.0,2.0,38.0,b'1'
1.0,23.0,3.0,1.0,25.0,b'3'
1.0,13.0,3.0,1.0,17.0,b'3'
2.0,16.0,19.0,2.0,11.0,b'3'
2.0,9.0,2.0,2.0,39.0,b'3'
2.0,13.0,3.0,1.0,11.0,b'3'
2.0,18.0,21.0,2.0,19.0,b'3'
1.0,22.0,3.0,2.0,45.0,b'3'
2.0,7.0,11.0,1.0,20.0,b'3'
2.0,23.0,3.0,1.0,20.0,b'3'
1.0,23.0,3.0,1.0,20.0,b'3'
1.0,23.0,3.0,2.0,38.0,b'3'
2.0,14.0,22.0,2.0,17.0,b'3'
1.0,17.0,17.0,2.0,19.0,b'3'
2.0,9.0,5.0,2.0,24.0,b'3'
2.0,18.0,25.0,2.0,25.0,b'3'
1.0,17.0,17.0,2.0,31.0,b'3'
2.0,1.0,15.0,2.0,31.0,b'3'
2.0,1.0,8.0,2.0,18.0,b'2'
1.0,11.0,16.0,2.0,22.0,b'2'
1.0,22.0,13.0,2.0,27.0,b'2'
2.0,9.0,2.0,2.0,14.0,b'2'
2.0,13.0,1.0,2.0,20.0,b'2'
1.0,6.0,17.0,2.0,35.0,b'2'
2.0,23.0,3.0,1.0,20.0,b'2'
1.0,23.0,3.0,1.0,20.0,b'2'
2.0,6.0,17.0,2.0,37.0,b'2'
1.0,22.0,3.0,2.0,15.0,b'2'
2.0,20.0,2.0,2.0,25.0,b'2'
2.0,23.0,3.0,2.0,10.0,b'2'
2.0,20.0,2.0,2.0,14.0,b'1'
1.0,23.0,3.0,2.0,38.0,b'1'
2.0,13.0,1.0,2.0,29.0,b'1'
2.0,10.0,3.0,2.0,19.0,b'1'
2.0,7.0,11.0,2.0,30.0,b'1'
1.0,14.0,15.0,2.0,32.0,b'1'
2.0,8.0,3.0,2.0,27.0,b'1'
2.0,12.0,7.0,2.0,34.0,b'1'
2.0,8.0,7.0,2.0,23.0,b'1'
2.0,15.0,1.0,2.0,66.0,b'1'
2.0,23.0,3.0,2.0,12.0,b'1'
2.0,2.0,9.0,2.0,29.0,b'1'
2.0,15.0,1.0,2.0,19.0,b'1'
2.0,20.0,2.0,2.0,3.0,b'1'
2.0,13.0,14.0,2.0,17.0,b'3'
2.0,9.0,6.0,2.0,7.0,b'3'
1.0,10.0,3.0,2.0,21.0,b'3'
2.0,14.0,15.0,2.0,36.0,b'3'
1.0,13.0,1.0,2.0,54.0,b'3'
1.0,8.0,3.0,2.0,29.0,b'3'
2.0,20.0,2.0,2.0,45.0,b'3'
2.0,22.0,1.0,2.0,11.0,b'2'
2.0,18.0,12.0,2.0,16.0,b'2'
2.0,20.0,15.0,2.0,18.0,b'2'
1.0,17.0,18.0,2.0,44.0,b'2'
2.0,14.0,23.0,2.0,17.0,b'2'
2.0,24.0,26.0,2.0,21.0,b'2'
2.0,9.0,24.0,2.0,20.0,b'2'
2.0,12.0,8.0,2.0,24.0,b'2'
2.0,9.0,6.0,2.0,5.0,b'2'
2.0,22.0,1.0,2.0,42.0,b'2'
2.0,7.0,11.0,2.0,30.0,b'1'
2.0,10.0,3.0,2.0,19.0,b'1'
2.0,23.0,3.0,2.0,11.0,b'1'
2.0,17.0,18.0,2.0,29.0,b'1'
2.0,16.0,20.0,2.0,15.0,b'1'
2.0,3.0,2.0,2.0,37.0,b'1'
2.0,19.0,4.0,2.0,10.0,b'1'
2.0,23.0,3.0,2.0,24.0,b'1'
2.0,3.0,2.0,2.0,26.0,b'1'
2.0,10.0,3.0,2.0,12.0,b'1'
1.0,18.0,7.0,2.0,48.0,b'1'
2.0,22.0,1.0,2.0,51.0,b'1'
2.0,2.0,10.0,2.0,27.0,b'1'
